fecha,producto,cantidad,precio_unitario,region
2023-02-23 00:00:00,Monitor,4,845,Sur
2023-02-27 00:00:00,Teclado,5,520,Sur
2023-03-08 00:00:00,Webcam,5,645,Sur
2023-02-15 00:00:00,Laptop,7,512,Sur
2023-01-24 00:00:00,Webcam,4,94,Sur
2023-02-01 00:00:00,Teclado,1,432,Sur
2023-02-16 00:00:00,Teclado,5,395,Sur
2023-03-27 00:00:00,Teclado,7,439,Sur
2023-01-23 00:00:00,Webcam,6,748,Sur
2023-03-07 00:00:00,Teclado,5,296,Sur
2023-01-27 00:00:00,Webcam,4,780,Sur
2023-01-02 00:00:00,Teclado,2,695,Sur
2023-03-31 00:00:00,Monitor,4,413,Sur
2023-01-17 00:00:00,Teclado,3,888,Sur
2023-02-02 00:00:00,Webcam,1,476,Sur
2023-01-09 00:00:00,Mouse,8,939,Sur
2023-02-12 00:00:00,Teclado,5,211,Sur
2023-02-17 00:00:00,Mouse,4,758,Sur
2023-02-08 00:00:00,Monitor,8,708,Sur
2023-02-11 00:00:00,Laptop,7,118,Sur
2023-01-26 00:00:00,Monitor,2,567,Sur
2023-02-19 00:00:00,Teclado,1,997,Sur
2023-01-25 00:00:00,Mouse,4,115,Sur
2023-01-24 00:00:00,Mouse,8,683,Sur
2023-01-13 00:00:00,Webcam,2,682,Sur
2023-03-01 00:00:00,Mouse,3,209,Sur
2023-01-07 00:00:00,Webcam,1,755,Sur
2023-02-26 00:00:00,Laptop,1,56,Sur
2023-02-05 00:00:00,Teclado,3,799,Sur
2023-02-14 00:00:00,Webcam,5,388,Sur
2023-01-20 00:00:00,Laptop,3,714,Sur
2023-03-06 00:00:00,Mouse,1,544,Sur
2023-01-08 00:00:00,Mouse,1,298,Sur
2023-01-16 00:00:00,Laptop,8,236,Sur
2023-01-14 00:00:00,Mouse,2,886,Sur
2023-03-17 00:00:00,Laptop,3,892,Sur
2023-03-28 00:00:00,Webcam,2,817,Sur
2023-01-15 00:00:00,Webcam,3,292,Sur
2023-03-07 00:00:00,Laptop,7,900,Sur
2023-02-01 00:00:00,Webcam,1,81,Sur
2023-03-28 00:00:00,Webcam,8,615,Sur
2023-03-30 00:00:00,Mouse,5,798,Sur
2023-03-27 00:00:00,Mouse,4,872,Sur
2023-01-13 00:00:00,Webcam,3,301,Sur
2023-02-28 00:00:00,Webcam,3,82,Sur
2023-01-19 00:00:00,Webcam,4,236,Sur
2023-02-18 00:00:00,Monitor,9,873,Sur
2023-01-12 00:00:00,Webcam,2,846,Sur
2023-03-02 00:00:00,Laptop,9,814,Sur
2023-01-19 00:00:00,Teclado,1,708,Sur
2023-03-17 00:00:00,Laptop,1,480,Sur
2023-01-09 00:00:00,Laptop,5,948,Sur
2023-03-12 00:00:00,Webcam,6,629,Sur
2023-01-28 00:00:00,Teclado,6,124,Sur
2023-03-19 00:00:00,Teclado,3,118,Sur
2023-02-21 00:00:00,Teclado,7,530,Sur
2023-03-24 00:00:00,Monitor,9,404,Sur
2023-01-16 00:00:00,Webcam,8,424,Sur
2023-03-10 00:00:00,Teclado,6,842,Sur
2023-01-12 00:00:00,Monitor,8,537,Sur
2023-01-25 00:00:00,Mouse,5,495,Sur
2023-02-21 00:00:00,Mouse,8,996,Sur
2023-03-26 00:00:00,Monitor,4,728,Sur
2023-02-22 00:00:00,Monitor,8,882,Sur
2023-01-23 00:00:00,Webcam,2,664,Sur
2023-01-16 00:00:00,Webcam,5,889,Sur
2023-02-26 00:00:00,Mouse,9,790,Sur
2023-02-08 00:00:00,Teclado,4,456,Sur
2023-02-22 00:00:00,Mouse,6,42,Sur
2023-02-11 00:00:00,Teclado,1,584,Sur
2023-02-27 00:00:00,Teclado,9,696,Sur
2023-02-08 00:00:00,Webcam,1,733,Sur
2023-01-14 00:00:00,Laptop,5,477,Sur
2023-01-05 00:00:00,Laptop,4,102,Sur
2023-02-04 00:00:00,Monitor,3,164,Sur
2023-03-28 00:00:00,Webcam,6,104,Sur
2023-03-16 00:00:00,Teclado,2,97,Sur
2023-01-18 00:00:00,Laptop,3,476,Sur
2023-03-17 00:00:00,Teclado,5,897,Sur
2023-01-09 00:00:00,Laptop,9,20,Sur
2023-03-15 00:00:00,Laptop,2,70,Sur
2023-02-27 00:00:00,Laptop,8,704,Sur
2023-01-17 00:00:00,Webcam,2,736,Sur
2023-01-07 00:00:00,Mouse,5,791,Sur
2023-02-15 00:00:00,Teclado,7,465,Sur
2023-01-13 00:00:00,Webcam,8,468,Sur
2023-02-09 00:00:00,Webcam,1,900,Sur
2023-02-11 00:00:00,Webcam,6,507,Sur
2023-01-09 00:00:00,Webcam,1,819,Sur
2023-02-19 00:00:00,Webcam,2,53,Sur
2023-01-27 00:00:00,Monitor,1,367,Sur
2023-03-13 00:00:00,Webcam,4,296,Sur
2023-02-08 00:00:00,Mouse,8,729,Sur
2023-01-26 00:00:00,Webcam,6,601,Sur
2023-02-03 00:00:00,Monitor,7,522,Sur
2023-02-23 00:00:00,Monitor,8,643,Sur
2023-01-03 00:00:00,Monitor,2,535,Sur
2023-02-19 00:00:00,Monitor,8,369,Sur
2023-01-12 00:00:00,Laptop,3,862,Sur
2023-03-06 00:00:00,Monitor,7,465,Sur
2023-02-23 00:00:00,Teclado,3,849,Sur
2023-01-05 00:00:00,Teclado,7,369,Sur
2023-02-26 00:00:00,Laptop,2,626,Sur
2023-01-17 00:00:00,Monitor,6,683,Sur
2023-02-16 00:00:00,Monitor,3,842,Sur
2023-01-23 00:00:00,Monitor,3,156,Sur
2023-03-20 00:00:00,Webcam,9,778,Sur
2023-03-26 00:00:00,Mouse,7,918,Sur
2023-01-14 00:00:00,Webcam,5,262,Sur
2023-03-07 00:00:00,Mouse,7,562,Sur
2023-03-16 00:00:00,Monitor,9,59,Sur
2023-02-20 00:00:00,Monitor,1,248,Sur
2023-02-07 00:00:00,Webcam,7,567,Sur
2023-03-05 00:00:00,Webcam,6,939,Sur
2023-02-07 00:00:00,Mouse,9,242,Sur
2023-02-19 00:00:00,Teclado,1,25,Sur
2023-03-23 00:00:00,Mouse,4,341,Sur
2023-01-30 00:00:00,Webcam,9,487,Sur
2023-03-20 00:00:00,Webcam,4,751,Sur
2023-02-20 00:00:00,Laptop,3,94,Sur
2023-03-04 00:00:00,Webcam,9,23,Sur
2023-02-21 00:00:00,Laptop,2,866,Sur
2023-02-07 00:00:00,Teclado,4,665,Sur
2023-03-29 00:00:00,Mouse,6,137,Sur
2023-03-20 00:00:00,Mouse,2,900,Sur
2023-01-30 00:00:00,Laptop,8,625,Sur
2023-02-20 00:00:00,Mouse,8,523,Sur
2023-03-22 00:00:00,Webcam,1,966,Sur
2023-01-05 00:00:00,Monitor,3,593,Sur
2023-01-29 00:00:00,Laptop,9,460,Sur
2023-01-04 00:00:00,Mouse,5,213,Sur
2023-01-10 00:00:00,Laptop,6,866,Sur
2023-02-25 00:00:00,Laptop,4,734,Sur
2023-01-17 00:00:00,Monitor,2,411,Sur
2023-03-15 00:00:00,Webcam,8,45,Sur
2023-01-17 00:00:00,Laptop,6,454,Sur
2023-03-25 00:00:00,Mouse,5,192,Sur
2023-03-29 00:00:00,Teclado,9,319,Sur
2023-03-10 00:00:00,Laptop,1,664,Sur
2023-02-03 00:00:00,Laptop,5,345,Sur
2023-01-06 00:00:00,Monitor,6,429,Sur
2023-03-09 00:00:00,Monitor,2,244,Este
2023-01-20 00:00:00,Laptop,2,578,Este
2023-01-01 00:00:00,Mouse,2,339,Este
2023-02-07 00:00:00,Webcam,2,158,Este
2023-03-18 00:00:00,Monitor,1,692,Este
2023-01-06 00:00:00,Mouse,2,29,Este
2023-01-05 00:00:00,Mouse,2,917,Este
2023-01-13 00:00:00,Mouse,2,340,Este
2023-03-04 00:00:00,Webcam,1,804,Este
2023-01-09 00:00:00,Monitor,1,939,Este
2023-02-07 00:00:00,Monitor,2,114,Este
2023-02-18 00:00:00,Webcam,2,975,Este
2023-02-19 00:00:00,Webcam,2,478,Este
2023-01-09 00:00:00,Mouse,2,566,Este
2023-01-01 00:00:00,Teclado,2,368,Este
2023-03-13 00:00:00,Monitor,1,248,Este
2023-01-14 00:00:00,Teclado,2,310,Este
2023-03-26 00:00:00,Webcam,1,870,Este
2023-03-19 00:00:00,Mouse,2,151,Este
2023-03-30 00:00:00,Webcam,2,108,Este
2023-01-18 00:00:00,Monitor,1,441,Este
2023-01-23 00:00:00,Laptop,1,164,Este
2023-03-07 00:00:00,Webcam,2,123,Este
2023-02-20 00:00:00,Monitor,2,665,Este
2023-03-08 00:00:00,Monitor,2,573,Este
2023-03-05 00:00:00,Teclado,1,642,Este
2023-01-29 00:00:00,Laptop,2,497,Este
2023-01-27 00:00:00,Teclado,1,569,Este
2023-02-26 00:00:00,Laptop,1,430,Este
2023-02-24 00:00:00,Laptop,2,215,Este
2023-03-27 00:00:00,Mouse,2,536,Este
2023-03-15 00:00:00,Laptop,2,825,Este
2023-01-13 00:00:00,Teclado,1,235,Este
2023-02-21 00:00:00,Webcam,2,280,Este
2023-01-29 00:00:00,Teclado,2,704,Este
2023-01-02 00:00:00,Monitor,1,646,Este
2023-02-05 00:00:00,Teclado,2,830,Este
2023-01-27 00:00:00,Webcam,2,30,Este
2023-03-15 00:00:00,Mouse,2,382,Este
2023-01-12 00:00:00,Mouse,1,635,Este
2023-03-03 00:00:00,Mouse,1,642,Este
2023-03-01 00:00:00,Monitor,2,375,Este
2023-03-09 00:00:00,Webcam,2,824,Este
2023-03-13 00:00:00,Mouse,1,623,Este
2023-01-31 00:00:00,Mouse,1,70,Este
2023-01-29 00:00:00,Laptop,2,798,Este
2023-01-23 00:00:00,Laptop,2,632,Este
2023-01-21 00:00:00,Mouse,2,439,Este
2023-02-23 00:00:00,Laptop,1,850,Este
2023-02-23 00:00:00,Monitor,2,930,Este
2023-01-21 00:00:00,Laptop,1,156,Este
2023-03-15 00:00:00,Teclado,1,136,Este
2023-01-26 00:00:00,Laptop,1,594,Este
2023-01-25 00:00:00,Mouse,1,825,Este
2023-01-02 00:00:00,Mouse,1,437,Este
2023-01-17 00:00:00,Monitor,1,895,Este
2023-02-20 00:00:00,Laptop,1,199,Este
2023-03-11 00:00:00,Webcam,2,180,Este
2023-02-18 00:00:00,Webcam,1,681,Este
2023-01-26 00:00:00,Teclado,2,488,Este
2023-02-18 00:00:00,Laptop,2,380,Este
2023-02-18 00:00:00,Teclado,2,361,Este
2023-03-04 00:00:00,Webcam,2,580,Este
2023-03-12 00:00:00,Laptop,2,160,Este
2023-03-28 00:00:00,Monitor,1,971,Este
2023-03-24 00:00:00,Webcam,1,448,Este
2023-01-30 00:00:00,Monitor,2,788,Este
2023-03-19 00:00:00,Monitor,1,213,Este
2023-02-07 00:00:00,Monitor,1,663,Este
2023-01-01 00:00:00,Webcam,1,890,Este
2023-01-03 00:00:00,Mouse,2,998,Este
2023-02-03 00:00:00,Teclado,1,106,Este
2023-02-24 00:00:00,Teclado,2,197,Este
2023-01-07 00:00:00,Webcam,2,852,Este
2023-02-26 00:00:00,Monitor,2,462,Este
2023-03-13 00:00:00,Laptop,1,248,Este
2023-03-08 00:00:00,Monitor,1,623,Este
2023-01-08 00:00:00,Mouse,1,115,Este
2023-03-29 00:00:00,Monitor,2,471,Este
2023-02-06 00:00:00,Webcam,2,754,Este
2023-02-24 00:00:00,Mouse,1,349,Este
2023-01-07 00:00:00,Laptop,1,104,Este
2023-01-19 00:00:00,Webcam,1,567,Este
2023-01-29 00:00:00,Teclado,2,533,Este
2023-01-01 00:00:00,Webcam,2,542,Este
2023-01-02 00:00:00,Monitor,1,138,Este
2023-01-12 00:00:00,Teclado,1,824,Este
2023-02-07 00:00:00,Laptop,2,72,Este
2023-02-13 00:00:00,Monitor,2,525,Este
2023-03-27 00:00:00,Teclado,2,612,Este
2023-03-15 00:00:00,Monitor,2,746,Este
2023-03-22 00:00:00,Mouse,1,228,Este
2023-01-14 00:00:00,Laptop,2,981,Este
2023-01-25 00:00:00,Laptop,2,297,Este
2023-01-04 00:00:00,Mouse,2,48,Este
2023-03-28 00:00:00,Webcam,1,857,Este
2023-01-18 00:00:00,Webcam,2,375,Este
2023-02-10 00:00:00,Mouse,1,696,Este
2023-01-25 00:00:00,Mouse,2,618,Este
2023-03-27 00:00:00,Webcam,1,844,Este
