id_transaccion,fecha,region,producto,cantidad,total_venta,ciudad
N-1051,2023-04-10 20:00:00,Norte,Mouse Ergonómico,3,2814.0,
N-1052,2023-06-10 08:00:00,Norte,Laptop Gamer,1,209.0,
N-1053,2023-01-28 00:00:00,Norte,Webcam HD,3,480.0,
N-1054,2023-03-20 09:00:00,Norte,Webcam HD,2,2220.0,
N-1055,2023-02-28 00:00:00,Norte,Webcam HD,2,2810.0,
N-1056,2023-05-01 04:00:00,Norte,Docking Station,4,5636.0,
N-1057,2023-05-26 13:00:00,Norte,Teclado Mecánico,3,3057.0,
N-1058,2023-01-26 18:00:00,Norte,Docking Station,2,2774.0,
N-1059,2023-05-19 22:00:00,Norte,Mouse Ergonómico,4,2396.0,
N-1060,2023-05-19 12:00:00,Norte,Laptop Gamer,3,3177.0,
N-1061,2023-04-08 20:00:00,Norte,Teclado Mecánico,2,1558.0,
N-1062,2023-02-08 18:00:00,Norte,Mouse Ergonómico,4,1424.0,
N-1063,2023-03-19 02:00:00,Norte,Webcam HD,4,4020.0,
N-1064,2023-02-09 02:00:00,Norte,Mouse Ergonómico,3,4488.0,
N-1065,2023-05-12 15:00:00,Norte,Docking Station,1,1291.0,
N-1066,2023-04-05 10:00:00,Norte,Laptop Gamer,1,233.0,
N-1067,2023-02-04 06:00:00,Norte,Docking Station,2,2224.0,
N-1068,2023-06-11 11:00:00,Norte,Webcam HD,3,3018.0,
N-1069,2023-04-05 06:00:00,Norte,Docking Station,3,3555.0,
N-1070,2023-05-24 03:00:00,Norte,Laptop Gamer,4,204.0,
N-1071,2023-05-03 06:00:00,Norte,Monitor 4K,3,1116.0,
N-1072,2023-03-13 20:00:00,Norte,Docking Station,2,2970.0,
N-1073,2023-05-29 09:00:00,Norte,Laptop Gamer,3,864.0,
N-1074,2023-03-31 02:00:00,Norte,Monitor 4K,2,2290.0,
N-1075,2023-05-16 21:00:00,Norte,Teclado Mecánico,1,627.0,
N-1076,2023-01-06 01:00:00,Norte,Mouse Ergonómico,1,1239.0,
N-1077,2023-01-22 16:00:00,Norte,Mouse Ergonómico,2,1498.0,
N-1078,2023-04-09 07:00:00,Norte,Docking Station,4,4476.0,
N-1079,2023-05-09 06:00:00,Norte,Webcam HD,4,1204.0,
N-1080,2023-06-01 18:00:00,Norte,Docking Station,2,1042.0,
N-1081,2023-01-09 22:00:00,Norte,Laptop Gamer,4,200.0,
N-1082,2023-05-13 18:00:00,Norte,Docking Station,3,549.0,
N-1083,2023-04-28 13:00:00,Norte,Docking Station,4,3600.0,
N-1084,2023-01-02 16:00:00,Norte,Monitor 4K,4,720.0,
N-1085,2023-03-27 11:00:00,Norte,Monitor 4K,2,2994.0,
N-1086,2023-03-09 21:00:00,Norte,Teclado Mecánico,4,436.0,
N-1087,2023-01-31 19:00:00,Norte,Teclado Mecánico,3,3558.0,
N-1088,2023-06-11 10:00:00,Norte,Laptop Gamer,4,3580.0,
N-1089,2023-01-15 05:00:00,Norte,Monitor 4K,3,603.0,
N-1090,2023-06-07 10:00:00,Norte,Webcam HD,2,2536.0,
N-1091,2023-01-17 16:00:00,Norte,Docking Station,4,2824.0,
N-1092,2023-06-01 00:00:00,Norte,Monitor 4K,3,513.0,
N-1093,2023-03-13 04:00:00,Norte,Monitor 4K,3,4116.0,
N-1094,2023-06-25 16:00:00,Norte,Docking Station,4,556.0,
N-1095,2023-04-16 14:00:00,Norte,Webcam HD,2,954.0,
N-1096,2023-06-02 18:00:00,Norte,Laptop Gamer,1,339.0,
N-1097,2023-03-06 09:00:00,Norte,Teclado Mecánico,1,605.0,
N-1098,2023-03-07 12:00:00,Norte,Monitor 4K,1,1283.0,
N-1099,2023-04-30 07:00:00,Norte,Monitor 4K,3,4062.0,
N-1100,2023-06-15 18:00:00,Norte,Monitor 4K,3,1923.0,
N-1101,2023-03-08 19:00:00,Norte,Docking Station,3,180.0,
N-1102,2023-06-08 16:00:00,Norte,Laptop Gamer,4,4332.0,
N-1103,2023-02-24 02:00:00,Norte,Laptop Gamer,3,1947.0,
N-1104,2023-05-27 05:00:00,Norte,Mouse Ergonómico,4,1272.0,
N-1105,2023-05-10 14:00:00,Norte,Mouse Ergonómico,1,827.0,
N-1106,2023-06-06 06:00:00,Norte,Monitor 4K,3,708.0,
N-1107,2023-05-14 04:00:00,Norte,Laptop Gamer,1,404.0,
N-1108,2023-02-03 04:00:00,Norte,Teclado Mecánico,3,2889.0,
N-1109,2023-02-12 13:00:00,Norte,Mouse Ergonómico,4,3824.0,
N-1110,2023-01-30 12:00:00,Norte,Monitor 4K,1,254.0,
N-1111,2023-05-01 08:00:00,Norte,Laptop Gamer,1,585.0,
N-1112,2023-01-15 19:00:00,Norte,Teclado Mecánico,2,284.0,
N-1113,2023-01-14 15:00:00,Norte,Webcam HD,1,216.0,
N-1114,2023-01-22 10:00:00,Norte,Webcam HD,2,694.0,
N-1115,2023-05-20 21:00:00,Norte,Teclado Mecánico,4,1592.0,
N-1116,2023-04-13 07:00:00,Norte,Monitor 4K,2,1422.0,
N-1117,2023-03-31 06:00:00,Norte,Laptop Gamer,3,4320.0,
N-1118,2023-04-02 01:00:00,Norte,Teclado Mecánico,4,436.0,
N-1119,2023-02-10 08:00:00,Norte,Webcam HD,1,1156.0,
N-1120,2023-03-10 02:00:00,Norte,Mouse Ergonómico,2,2078.0,
N-1121,2023-04-09 06:00:00,Norte,Monitor 4K,3,1977.0,
N-1122,2023-01-02 16:00:00,Norte,Monitor 4K,3,1335.0,
N-1123,2023-05-09 21:00:00,Norte,Mouse Ergonómico,2,410.0,
N-1124,2023-03-09 05:00:00,Norte,Webcam HD,3,183.0,
N-1125,2023-04-27 01:00:00,Norte,Teclado Mecánico,4,336.0,
N-1126,2023-04-01 17:00:00,Norte,Mouse Ergonómico,3,4476.0,
N-1127,2023-05-29 08:00:00,Norte,Monitor 4K,4,3736.0,
N-1128,2023-04-20 10:00:00,Norte,Teclado Mecánico,2,222.0,
N-1129,2023-04-01 06:00:00,Norte,Docking Station,1,603.0,
N-1130,2023-03-15 14:00:00,Norte,Teclado Mecánico,1,702.0,
N-1131,2023-03-19 00:00:00,Norte,Laptop Gamer,2,552.0,
N-1132,2023-01-28 17:00:00,Norte,Laptop Gamer,1,376.0,
N-1133,2023-05-21 16:00:00,Norte,Webcam HD,2,2000.0,
N-1134,2023-04-21 11:00:00,Norte,Monitor 4K,2,1820.0,
N-1135,2023-01-27 03:00:00,Norte,Webcam HD,1,1318.0,
N-1136,2023-05-31 08:00:00,Norte,Teclado Mecánico,2,976.0,
N-1137,2023-05-13 12:00:00,Norte,Mouse Ergonómico,3,4395.0,
N-1138,2023-05-04 05:00:00,Norte,Teclado Mecánico,2,1520.0,
N-1139,2023-04-16 05:00:00,Norte,Mouse Ergonómico,2,1186.0,
N-1140,2023-06-16 18:00:00,Norte,Monitor 4K,4,5304.0,
N-1141,2023-02-09 21:00:00,Norte,Webcam HD,2,578.0,
N-1142,2023-03-12 21:00:00,Norte,Docking Station,1,266.0,
N-1143,2023-02-13 19:00:00,Norte,Teclado Mecánico,1,389.0,
N-1144,2023-04-25 07:00:00,Norte,Docking Station,2,1482.0,
N-1145,2023-04-17 10:00:00,Norte,Teclado Mecánico,4,4204.0,
N-1146,2023-04-08 00:00:00,Norte,Monitor 4K,2,2458.0,
N-1147,2023-02-01 22:00:00,Norte,Monitor 4K,1,1040.0,
N-1148,2023-06-13 03:00:00,Norte,Laptop Gamer,1,297.0,
N-1149,2023-02-24 01:00:00,Norte,Monitor 4K,1,909.0,
S-5000,2023-02-11 00:00:00,Sur,Webcam HD,9,3060.864,
S-5001,2023-02-03 12:00:00,Sur,Teclado Mecánico,8,4796.8,
S-5002,2023-04-06 07:00:00,Sur,Mouse Ergonómico,6,5828.16,
S-5003,2023-04-02 05:00:00,Sur,Monitor 4K,1,719.694,
S-5004,2023-06-17 12:00:00,Sur,Mouse Ergonómico,2,1177.981,
S-5005,2023-06-20 18:00:00,Sur,Teclado Mecánico,9,4262.175,
S-5006,2023-01-15 02:00:00,Sur,Teclado Mecánico,5,1067.88,
S-5007,2023-01-30 21:00:00,Sur,Mouse Ergonómico,8,8149.1759999999995,
S-5008,2023-02-19 11:00:00,Sur,Teclado Mecánico,8,2751.8080000000004,
S-5009,2023-01-14 18:00:00,Sur,Webcam HD,1,157.22400000000002,
S-5010,2023-03-04 02:00:00,Sur,Monitor 4K,4,1580.23,
S-5011,2023-03-13 06:00:00,Sur,Laptop Gamer,2,386.213,
S-5012,2023-03-04 19:00:00,Sur,Monitor 4K,9,8711.424,
S-5013,2023-04-20 03:00:00,Sur,Laptop Gamer,8,3161.372,
S-5014,2023-04-07 19:00:00,Sur,Webcam HD,5,1229.8700000000001,
S-5015,2023-05-16 00:00:00,Sur,Teclado Mecánico,7,2533.2720000000004,
S-5016,2023-06-15 21:00:00,Sur,Docking Station,9,12545.73,
S-5017,2023-04-18 08:00:00,Sur,Laptop Gamer,6,5628.42,
S-5018,2023-06-09 14:00:00,Sur,Monitor 4K,7,6933.080000000001,
S-5019,2023-06-14 07:00:00,Sur,Docking Station,8,8787.84,
S-5020,2023-03-18 09:00:00,Sur,Monitor 4K,9,9579.024000000001,
S-5021,2023-04-25 02:00:00,Sur,Laptop Gamer,9,9794.452499999998,
S-5022,2023-03-27 21:00:00,Sur,Laptop Gamer,8,5036.56,
S-5023,2023-03-21 02:00:00,Sur,Monitor 4K,9,7762.59,
S-5024,2023-04-03 05:00:00,Sur,Teclado Mecánico,8,4063.4919999999993,
S-5025,2023-03-10 21:00:00,Sur,Teclado Mecánico,8,3395.5200000000004,
S-5026,2023-01-13 00:00:00,Sur,Teclado Mecánico,6,4616.943,
S-5027,2023-06-24 14:00:00,Sur,Monitor 4K,8,1933.248,
S-5028,2023-02-22 07:00:00,Sur,Teclado Mecánico,9,11658.960000000001,
S-5029,2023-02-09 05:00:00,Sur,Teclado Mecánico,7,4965.597,
S-5030,2023-05-24 14:00:00,Sur,Webcam HD,7,8970.2515,
S-5031,2023-06-10 08:00:00,Sur,Laptop Gamer,8,1534.752,
S-5032,2023-02-15 08:00:00,Sur,Webcam HD,8,2038.536,
S-5033,2023-03-02 05:00:00,Sur,Laptop Gamer,4,2249.8880000000004,
S-5034,2023-04-12 15:00:00,Sur,Teclado Mecánico,5,4317.66,
S-5035,2023-02-06 02:00:00,Sur,Laptop Gamer,9,7167.023999999999,
S-5036,2023-06-08 12:00:00,Sur,Docking Station,2,2457.4500000000003,
S-5037,2023-05-02 02:00:00,Sur,Laptop Gamer,3,2989.8720000000003,
S-5038,2023-04-25 22:00:00,Sur,Docking Station,8,6831.360000000001,
S-5039,2023-06-08 13:00:00,Sur,Docking Station,5,3901.27,
S-5040,2023-04-29 18:00:00,Sur,Docking Station,3,2052.162,
S-5041,2023-04-10 16:00:00,Sur,Monitor 4K,4,3067.92,
S-5042,2023-05-08 16:00:00,Sur,Monitor 4K,7,8164.204999999999,
S-5043,2023-03-12 09:00:00,Sur,Monitor 4K,4,1508.256,
S-5044,2023-04-30 21:00:00,Sur,Webcam HD,9,11985.75,
S-5045,2023-01-06 07:00:00,Sur,Monitor 4K,9,4264.344,
S-5046,2023-06-23 01:00:00,Sur,Monitor 4K,7,2705.8080000000004,
S-5047,2023-03-29 00:00:00,Sur,Webcam HD,6,6825.924,
S-5048,2023-06-15 15:00:00,Sur,Mouse Ergonómico,5,4948.74,
S-5049,2023-02-11 06:00:00,Sur,Mouse Ergonómico,1,1071.068,
S-5050,2023-01-08 09:00:00,Sur,Teclado Mecánico,6,6831.485999999999,
S-5051,2023-05-15 19:00:00,Sur,Laptop Gamer,1,676.23,
S-5052,2023-02-07 19:00:00,Sur,Monitor 4K,8,5988.115999999999,
S-5053,2023-01-26 04:00:00,Sur,Webcam HD,7,5193.342000000001,
S-5054,2023-05-30 12:00:00,Sur,Laptop Gamer,5,3474.35,
S-5055,2023-01-28 03:00:00,Sur,Webcam HD,5,1649.65,
S-5056,2023-01-16 10:00:00,Sur,Laptop Gamer,1,229.88099999999997,
S-5057,2023-02-17 21:00:00,Sur,Docking Station,4,1831.4099999999999,
S-5058,2023-04-28 14:00:00,Sur,Monitor 4K,4,4756.224,
S-5059,2023-04-19 21:00:00,Sur,Teclado Mecánico,4,537.548,
S-5060,2023-01-28 02:00:00,Sur,Teclado Mecánico,9,7261.992,
S-5061,2023-04-19 11:00:00,Sur,Webcam HD,3,2292.219,
S-5062,2023-02-23 00:00:00,Sur,Webcam HD,3,616.842,
S-5063,2023-01-19 22:00:00,Sur,Monitor 4K,7,6151.117,
S-5064,2023-03-20 08:00:00,Sur,Webcam HD,1,347.43,
S-5065,2023-06-26 09:00:00,Sur,Docking Station,1,984.15,
S-5066,2023-01-30 05:00:00,Sur,Laptop Gamer,6,6750.48,
S-5067,2023-01-28 06:00:00,Sur,Docking Station,2,2824.96,
S-5068,2023-01-18 07:00:00,Sur,Teclado Mecánico,1,933.61,
S-5069,2023-04-30 08:00:00,Sur,Docking Station,4,5041.915999999999,
S-5070,2023-04-25 15:00:00,Sur,Teclado Mecánico,7,1839.4599999999998,
S-5071,2023-04-05 21:00:00,Sur,Teclado Mecánico,1,1045.072,
S-5072,2023-01-07 12:00:00,Sur,Docking Station,6,1619.2559999999999,
S-5073,2023-04-17 07:00:00,Sur,Docking Station,4,1607.724,
S-5074,2023-03-07 20:00:00,Sur,Monitor 4K,2,2198.844,
S-5075,2023-03-13 20:00:00,Sur,Monitor 4K,8,6791.831999999999,
S-5076,2023-02-21 09:00:00,Sur,Laptop Gamer,1,831.81,
S-5077,2023-01-15 06:00:00,Sur,Monitor 4K,4,4616.24,
S-5078,2023-03-15 16:00:00,Sur,Webcam HD,4,1693.546,
S-5079,2023-01-09 19:00:00,Sur,Teclado Mecánico,5,6968.8,
S-5000,2023-03-12 19:00:00,Sur,Webcam HD,5,331.40749999999997,
S-5001,2023-03-18 14:00:00,Sur,Laptop Gamer,7,2286.9349999999995,
S-5002,2023-05-25 06:00:00,Sur,Webcam HD,8,7175.84,
S-5003,2023-04-27 03:00:00,Sur,Monitor 4K,2,2233.872,
S-5004,2023-06-16 02:00:00,Sur,Teclado Mecánico,7,335.349,
S-5005,2023-03-27 20:00:00,Sur,Docking Station,8,9013.22,
S-5006,2023-03-08 16:00:00,Sur,Webcam HD,2,1136.3,
S-5007,2023-01-02 07:00:00,Sur,Docking Station,9,10279.664999999999,
S-5008,2023-01-25 06:00:00,Sur,Laptop Gamer,8,5338.62,
S-5009,2023-01-21 22:00:00,Sur,Webcam HD,1,1289.1309999999999,
S-5010,2023-05-10 12:00:00,Sur,Webcam HD,5,3168.4874999999997,
S-5011,2023-04-21 01:00:00,Sur,Mouse Ergonómico,7,2012.2900000000002,
S-5012,2023-04-20 12:00:00,Sur,Teclado Mecánico,3,2379.213,
S-5013,2023-02-23 04:00:00,Sur,Webcam HD,4,3103.56,
S-5014,2023-06-14 18:00:00,Sur,Docking Station,5,2965.4,
S-5015,2023-03-13 05:00:00,Sur,Mouse Ergonómico,8,4944.256,
S-5016,2023-01-22 06:00:00,Sur,Mouse Ergonómico,8,956.2320000000001,
S-5017,2023-05-01 11:00:00,Sur,Webcam HD,2,786.011,
S-5018,2023-04-17 06:00:00,Sur,Teclado Mecánico,4,4787.16,
S-5019,2023-06-01 00:00:00,Sur,Webcam HD,4,692.132,
S-5020,2023-02-01 00:00:00,Sur,Mouse Ergonómico,9,592.56,
S-5021,2023-02-01 16:00:00,Sur,Docking Station,5,2191.05,
S-5022,2023-02-25 20:00:00,Sur,Mouse Ergonómico,4,2612.12,
S-5023,2023-01-01 04:00:00,Sur,Docking Station,7,472.15,
S-5024,2023-01-24 12:00:00,Sur,Laptop Gamer,3,3483.8115,
S-5025,2023-03-02 14:00:00,Sur,Laptop Gamer,5,6445.5599999999995,
S-5026,2023-04-12 05:00:00,Sur,Teclado Mecánico,8,8169.344000000001,
S-5027,2023-03-04 20:00:00,Sur,Monitor 4K,7,3122.707,
S-5028,2023-01-09 08:00:00,Sur,Mouse Ergonómico,9,8450.856,
S-5029,2023-03-13 09:00:00,Sur,Webcam HD,7,7349.314,
S-5030,2023-05-18 19:00:00,Sur,Mouse Ergonómico,1,969.58,
S-5031,2023-06-25 03:00:00,Sur,Webcam HD,2,315.47599999999994,
S-5032,2023-03-25 08:00:00,Sur,Docking Station,3,762.6899999999999,
S-5033,2023-03-03 06:00:00,Sur,Mouse Ergonómico,4,2747.628,
S-5034,2023-06-12 02:00:00,Sur,Docking Station,9,5578.47,
S-5035,2023-04-22 19:00:00,Sur,Webcam HD,6,692.16,
S-5036,2023-02-10 15:00:00,Sur,Docking Station,2,1275.8760000000002,
S-5037,2023-02-04 02:00:00,Sur,Mouse Ergonómico,4,2803.9040000000005,
S-5038,2023-04-09 06:00:00,Sur,Mouse Ergonómico,8,1684.1599999999999,
S-5039,2023-06-29 01:00:00,Sur,Mouse Ergonómico,6,4617.918,
S-5040,2023-04-26 04:00:00,Sur,Teclado Mecánico,5,4161.16,
S-5041,2023-02-03 14:00:00,Sur,Monitor 4K,8,4668.832,
S-5042,2023-05-05 14:00:00,Sur,Monitor 4K,4,2538.848,
S-5043,2023-06-26 19:00:00,Sur,Teclado Mecánico,4,1783.5120000000002,
S-5044,2023-05-12 08:00:00,Sur,Monitor 4K,6,1205.0939999999998,
S-5045,2023-01-05 02:00:00,Sur,Teclado Mecánico,7,5354.978999999999,
S-5046,2023-01-22 15:00:00,Sur,Laptop Gamer,7,7645.1759999999995,
S-5047,2023-05-09 13:00:00,Sur,Monitor 4K,7,5869.584,
S-5048,2023-03-10 14:00:00,Sur,Webcam HD,7,6314.0560000000005,
S-5049,2023-02-20 12:00:00,Sur,Webcam HD,4,5069.52,
S-5050,2023-03-19 10:00:00,Sur,Docking Station,5,1390.8000000000002,
S-5051,2023-01-10 10:00:00,Sur,Mouse Ergonómico,7,3535.35,
S-5052,2023-03-14 12:00:00,Sur,Mouse Ergonómico,1,1187.6235000000001,
S-5053,2023-01-01 00:00:00,Sur,Monitor 4K,6,2406.768,
S-5054,2023-06-19 11:00:00,Sur,Laptop Gamer,6,4065.4800000000005,
S-5055,2023-02-13 05:00:00,Sur,Mouse Ergonómico,5,4133.92,
S-5056,2023-06-02 04:00:00,Sur,Laptop Gamer,8,2678.976,
S-5057,2023-06-12 04:00:00,Sur,Monitor 4K,3,1466.6670000000001,
S-5058,2023-05-18 13:00:00,Sur,Mouse Ergonómico,4,5217.058,
S-5059,2023-04-13 18:00:00,Sur,Laptop Gamer,5,7490.05,
S-5060,2023-05-28 07:00:00,Sur,Docking Station,4,4299.328,
S-5061,2023-02-08 22:00:00,Sur,Teclado Mecánico,1,878.085,
S-5062,2023-01-23 04:00:00,Sur,Monitor 4K,2,2404.692,
S-5063,2023-04-19 06:00:00,Sur,Docking Station,5,2743.56,
S-5064,2023-01-20 05:00:00,Sur,Mouse Ergonómico,6,2922.1049999999996,
S-5065,2023-04-07 12:00:00,Sur,Mouse Ergonómico,8,784.72,
S-5066,2023-06-23 03:00:00,Sur,Webcam HD,9,10713.221999999998,
S-5067,2023-06-04 03:00:00,Sur,Teclado Mecánico,7,10250.38,
S-5068,2023-01-05 21:00:00,Sur,Mouse Ergonómico,3,932.5440000000001,
S-5069,2023-06-08 18:00:00,Sur,Webcam HD,3,2487.651,
S-5070,2023-04-17 01:00:00,Sur,Webcam HD,2,2139.362,
S-5071,2023-04-01 17:00:00,Sur,Mouse Ergonómico,3,1415.01,
S-5072,2023-03-20 13:00:00,Sur,Mouse Ergonómico,7,5039.558999999999,
S-5073,2023-05-30 03:00:00,Sur,Mouse Ergonómico,7,3726.072,
S-5074,2023-05-06 09:00:00,Sur,Teclado Mecánico,2,2497.88,
S-5075,2023-05-17 22:00:00,Sur,Monitor 4K,2,2070.018,
S-5076,2023-01-29 13:00:00,Sur,Webcam HD,1,786.708,
S-5077,2023-06-09 11:00:00,Sur,Mouse Ergonómico,1,145.92,
S-5078,2023-02-07 13:00:00,Sur,Monitor 4K,2,2304.48,
S-5079,2023-05-01 11:00:00,Sur,Docking Station,7,1649.8439999999998,
G6YATHNF,2023-06-29 00:00:00,Este,Monitor 4K,1,608.63,Sevilla
THC8MFC5,2023-04-12 00:00:00,Este,Webcam HD,1,1357.62,Sevilla
6IFCBHMJ,2023-04-20 00:00:00,Este,Webcam HD,2,1202.74,Sevilla
PXC40RUN,2023-04-14 00:00:00,Este,Webcam HD,2,1518.55,Madrid
3JI7HLD5,2023-01-03 00:00:00,Este,Monitor 4K,2,1764.18,Sevilla
XSVJ1EAR,2023-02-24 00:00:00,Este,Teclado Mecánico,2,574.75,Valencia
SIY756OH,2023-05-14 00:00:00,Este,Mouse Ergonómico,2,602.58,Sevilla
MVZBDEOP,2023-02-22 00:00:00,Este,Webcam HD,2,1518.55,Valencia
2HY9AP7K,2023-03-27 00:00:00,Este,Laptop Gamer,2,808.28,Madrid
9ZD41NDJ,2023-03-22 00:00:00,Este,Docking Station,1,1128.93,Sevilla
10BVCREK,2023-05-03 00:00:00,Este,Docking Station,1,1090.21,Barcelona
LQSWQFLE,2023-03-15 00:00:00,Este,Teclado Mecánico,2,147.62,Bilbao
VCU2UM2O,2023-01-03 00:00:00,Este,Webcam HD,2,555.39,Sevilla
DQDH71KE,2023-04-29 00:00:00,Este,Mouse Ergonómico,2,605.0,Valencia
GTXDEA4K,2023-05-03 00:00:00,Este,Webcam HD,1,1681.9,Sevilla
P8RWHEZZ,2023-02-24 00:00:00,Este,Webcam HD,2,1180.96,Madrid
VZ8VU04T,2023-04-05 00:00:00,Este,Docking Station,2,657.03,Bilbao
VFPCLYKN,2023-05-08 00:00:00,Este,Monitor 4K,2,1128.93,Bilbao
0KYMHFGD,2023-03-17 00:00:00,Este,Docking Station,1,1003.09,Madrid
TNX7J79M,2023-04-10 00:00:00,Este,Teclado Mecánico,1,1235.41,Bilbao
7NLIEXK7,2023-05-16 00:00:00,Este,Teclado Mecánico,1,82.28,Madrid
Y9E8X18T,2023-06-19 00:00:00,Este,Monitor 4K,2,444.07,Barcelona
OTJPN4M6,2023-04-19 00:00:00,Este,Docking Station,1,258.94,Barcelona
RK29E3CM,2023-05-17 00:00:00,Este,Mouse Ergonómico,1,1386.66,Madrid
1TBAH0AH,2023-04-06 00:00:00,Este,Webcam HD,1,509.40999999999997,Sevilla
HBH9P587,2023-02-01 00:00:00,Este,Teclado Mecánico,2,1040.6,Madrid
A33KWYU4,2023-03-29 00:00:00,Este,Monitor 4K,1,934.12,Bilbao
UZF72UN4,2023-05-30 00:00:00,Este,Teclado Mecánico,1,1384.24,Sevilla
GJ4OO98K,2023-04-17 00:00:00,Este,Laptop Gamer,2,1303.17,Sevilla
1BJGY84F,2023-04-06 00:00:00,Este,Mouse Ergonómico,2,116.16,Barcelona
LMFJ2ATQ,2023-02-13 00:00:00,Este,Laptop Gamer,1,1777.49,Sevilla
0GUYBOYF,2023-06-26 00:00:00,Este,Docking Station,1,415.03,Sevilla
EY91TLHC,2023-01-03 00:00:00,Este,Docking Station,2,1099.8899999999999,Bilbao
2N8Z8ICC,2023-01-03 00:00:00,Este,Laptop Gamer,2,953.48,Barcelona
N0JMAGUW,2023-06-22 00:00:00,Este,Laptop Gamer,1,1128.93,Valencia
0G7RN489,2023-02-09 00:00:00,Este,Monitor 4K,2,669.13,Sevilla
YRVTW2R8,2023-05-29 00:00:00,Este,Monitor 4K,2,295.24,Valencia
MAP830E2,2023-03-26 00:00:00,Este,Webcam HD,2,1655.28,Madrid
EVG81JM9,2023-02-19 00:00:00,Este,Webcam HD,2,856.6800000000001,Madrid
G79H1GJM,2023-06-17 00:00:00,Este,Monitor 4K,1,1656.49,Madrid
IAQG837H,2023-06-10 00:00:00,Este,Laptop Gamer,1,1541.54,Sevilla
